,screen_name_binary_n,name_binary_n,description_binary_n,status_binary_n,verified_n,followers_count_n,friends_count_n,statuses_count_n,listed_count_binary_n
0,1,0,0,1,0,571,0,1940,1
1,1,0,0,0,0,1,319,31,1
2,1,1,1,1,0,542,0,399,1
3,1,1,0,0,0,33,0,389,1
4,0,0,1,0,0,11,559,155,1
5,0,0,1,0,0,1,177,11,1
6,0,1,1,0,0,190,0,1123,1
7,0,0,1,0,0,852,2,752,1
8,1,1,1,0,0,255,0,1340,1
9,1,0,0,0,0,51,3,740,1
10,1,1,1,1,0,51,1,104,1
11,1,1,1,0,0,2,1,182,1
12,0,0,0,0,0,0,29,0,1
13,0,0,0,0,0,1,194,0,1
14,0,0,0,0,0,0,38,0,1
15,0,0,0,0,0,109,0,1529,1
16,1,1,1,1,0,235,0,1771,1
17,1,1,0,0,0,15,832,276,1
18,1,1,1,0,0,187,825,0,1
19,0,0,1,1,0,178,0,1643,1
20,0,0,1,1,0,881,1062,1914,1
21,0,0,0,1,0,23,4,1134,1
22,1,1,1,1,0,1118,0,1756,1
23,1,1,1,1,0,676,3,1228,1
24,1,1,1,1,0,350,2,1315,1
25,1,1,1,1,0,27,1,127,1
26,0,0,0,0,0,188,2,1093,1
27,0,0,0,1,0,1,35,78,1
28,1,1,1,1,0,433,0,1622,1
29,1,1,1,1,0,37,45,160,1
30,1,1,1,0,0,293,56,1753,1
31,0,0,1,0,0,577,2,1689,1
32,0,0,0,0,0,0,52,0,1
33,0,0,0,0,0,54,0,588,1
34,1,1,1,1,0,755,2,1976,1
35,0,0,0,0,0,0,54,18,1
36,1,1,1,1,0,160,2,2031,1
37,1,1,0,1,0,32,1,1132,1
38,1,1,1,1,0,501,1,889,1
39,1,1,1,1,0,108,10,331,1
40,0,0,0,0,0,187,1,924,1
41,0,0,0,0,0,440,115,1516,1
42,0,0,0,0,0,1,311,48,1
43,0,0,0,0,0,89,704,2,1
44,0,0,0,0,0,538,0,1433,1
45,1,1,0,1,0,332,521,1714,1
46,0,1,1,0,0,328,947,245,1
47,0,0,0,0,0,4,94,0,1
48,0,0,0,0,0,0,135,12,1
49,0,0,0,0,0,578,0,1897,1
50,0,0,1,1,0,36,1,321,1
51,0,1,1,1,0,8,1,29,1
52,1,1,1,0,0,595,1,1508,1
53,0,0,1,1,0,640,99,1987,1
54,0,0,0,0,0,1,63,1,1
55,0,0,0,0,0,82,49,1549,1
56,0,0,0,0,0,2,20,115,1
57,0,0,1,1,0,0,25,70,1
58,0,0,0,0,0,78,1,966,1
59,0,0,0,1,0,335,6,1426,1
60,0,0,1,0,1,839,394,842,1
61,1,1,1,1,0,68,0,1703,1
62,0,0,1,0,0,108,1,1621,1
63,1,0,0,1,0,120,0,1083,1
64,1,0,1,1,0,0,302,29,1
65,0,0,1,0,0,0,22,95,1
66,0,0,0,0,0,15,19,19,1
67,0,0,0,1,0,23,0,61,1
68,0,0,0,0,0,127,171,1434,1
69,0,0,0,0,0,1165,1076,1602,1
70,0,1,1,1,0,456,1,747,1
71,1,1,0,1,0,179,0,288,1
72,1,1,1,1,0,123,0,1741,1
73,1,1,1,1,0,570,1,1909,1
74,0,0,0,0,0,110,801,4,1
75,0,0,1,0,0,9,0,558,1
76,0,0,1,1,0,1114,3,1480,1
77,0,0,0,0,0,4,320,6,1
78,0,0,0,1,0,1,44,74,1
79,0,1,1,0,0,260,5,1666,1
80,0,0,0,0,0,1115,1015,1240,1
81,0,0,0,0,0,975,2,1899,1
82,0,0,0,0,0,43,1,1723,1
83,0,0,0,0,0,11,73,1,1
84,1,0,0,1,0,511,0,1931,1
85,0,0,1,1,0,63,2,760,1
86,1,0,1,1,0,71,2,374,1
87,1,1,0,0,0,131,2,972,1
88,1,1,1,0,0,168,4,1279,1
89,0,0,0,0,0,831,1016,1856,1
90,1,1,1,1,0,729,21,2020,1
91,0,0,0,0,0,4,226,17,1
92,0,0,0,0,0,257,999,41,1
93,1,1,0,1,0,31,23,142,1
94,1,1,1,0,0,539,0,2,1
95,1,1,1,1,0,8,0,112,1
96,0,0,1,0,0,14,3,1472,1
97,0,0,0,0,0,875,1058,437,1
98,0,0,0,0,0,0,32,89,1
99,0,0,0,1,0,198,1,1220,1
100,1,1,1,1,0,20,9,707,1
101,0,0,0,1,0,109,146,24,1
102,1,0,0,1,0,395,10,2009,1
103,0,0,0,0,0,216,271,12,1
104,0,1,1,1,0,105,4,584,1
105,1,1,1,1,0,529,0,2026,1
106,0,0,0,0,0,33,756,1,1
107,0,0,0,0,0,4,19,0,1
108,0,0,0,1,0,1,313,43,1
109,0,0,0,0,0,0,286,27,1
110,0,0,0,0,0,1,372,76,1
111,0,0,0,0,0,0,317,28,1
112,0,0,0,0,0,23,0,258,1
113,0,0,0,1,0,239,16,1468,1
114,0,0,1,0,0,20,9,295,1
115,0,0,0,0,0,382,0,932,1
116,0,0,0,0,0,5,401,84,1
117,0,0,0,1,0,1255,1131,1973,1
118,0,0,0,0,0,1,310,30,1
119,0,0,0,0,0,240,1,1437,1
120,0,0,0,0,0,16,815,268,1
121,0,0,1,0,0,250,97,1033,1
122,0,0,0,0,0,461,38,2024,1
123,1,1,1,1,0,61,31,367,1
124,0,0,1,1,0,105,1,343,1
125,0,0,0,1,0,26,35,1291,1
126,0,0,0,0,0,13,1,482,1
127,0,0,1,0,0,843,22,1547,1
128,0,0,0,1,0,1020,2,1998,1
129,0,0,0,0,0,124,151,878,1
130,1,1,1,0,0,141,14,26,1
131,1,1,0,1,0,347,0,808,1
132,0,0,0,0,0,9,400,69,1
133,0,0,1,1,0,44,0,520,1
134,0,0,0,0,0,376,950,356,1
135,1,1,1,1,0,1081,0,1416,1
136,1,0,0,1,0,953,2,2010,1
137,0,0,1,0,0,1085,1110,2027,1
138,0,0,0,0,0,0,98,0,1
139,1,1,1,0,0,30,0,580,1
140,0,0,0,0,0,1,113,1,1
141,0,0,1,1,0,0,34,59,1
142,0,0,1,0,0,245,1,1007,1
143,0,0,1,0,0,534,1,1231,1
144,1,1,1,0,0,15,1,71,1
145,0,0,0,1,0,14,0,857,1
146,0,0,0,0,0,2,104,1,1
147,1,1,1,0,0,301,24,136,1
148,0,0,1,1,0,78,207,649,1
149,1,1,0,1,0,21,19,508,1
150,0,0,0,1,0,12,33,63,1
151,0,0,1,0,0,439,7,1644,1
152,0,0,0,0,0,0,34,0,1
153,1,1,1,1,0,288,0,1170,1
154,0,0,0,0,0,262,384,786,1
155,0,0,1,1,0,95,3,734,1
156,1,1,1,0,0,410,15,512,1
157,0,0,0,0,0,20,805,265,1
158,0,0,0,0,0,3,441,106,1
159,1,0,1,1,0,16,25,129,1
